Crop,Season,Agro_Zone,Zone_Group,mean_temp,rain_avg,Sand_pct,Silt_pct,Clay_pct,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,Humidity_pct,pH
Sugarcane,Kharif,12,arid,25.9,83.49,23.85,38.58,37.57,clayey,137.0,62.9,64.3,59.1,6.35
Wheat,Rabi,12,arid,21.01,48.24,62.77,23.83,13.4,sandy,121.0,54.2,54.0,39.2,7.32
Sugarcane,Kharif,11,humid,33.95,148.79,36.46,26.06,37.48,clayey,182.3,84.1,78.0,65.8,6.12
Wheat,Rabi,7,plains,20.43,64.47,41.46,31.88,26.66,loamy,99.6,39.1,40.4,54.0,6.36
Rice,Kharif,3,plains,32.13,128.52,20.42,40.46,39.12,clayey,134.4,46.9,55.1,80.4,4.61
Wheat,Rabi,13,arid,22.52,36.57,76.6,18.6,4.8,sandy,71.0,36.4,25.5,59.0,7.09
Rice,Kharif,2,humid,32.1,160.71,15.39,37.77,46.84,clayey,148.9,50.4,53.0,79.2,5.51
Maize,Kharif,7,plains,26.95,74.81,24.97,31.41,43.62,clayey,103.1,35.3,38.2,59.3,7.27
Sugarcane,Kharif,5,arid,25.55,86.33,44.19,23.98,31.83,loamy,215.9,91.3,93.2,59.1,6.61
Maize,Kharif,0,plains,19.55,70.14,56.13,25.61,18.26,sandy,127.7,59.8,58.7,55.7,7.25
Maize,Rabi,9,plains,25.96,70.82,46.95,26.1,26.95,sandy,86.9,30.5,35.9,75.2,5.52
Wheat,Rabi,4,plains,23.12,64.78,56.88,35.9,7.22,sandy,109.1,45.7,48.4,51.8,7.01
Sugarcane,Kharif,3,plains,33.32,118.73,26.83,37.53,35.64,clayey,244.8,99.7,92.5,83.7,6.42
Sugarcane,Kharif,11,humid,28.21,160.27,41.54,29.59,28.87,loamy,130.1,60.1,57.9,83.2,6.55
Wheat,Rabi,13,arid,23.61,31.16,75.55,19.06,5.39,sandy,123.6,55.9,58.6,62.3,6.52
Rice,Kharif,14,humid,24.94,137.64,36.5,27.87,35.63,clayey,145.5,50.3,49.8,96.3,5.66
Rice,Kharif,14,humid,29.99,158.2,41.0,25.92,33.08,loamy,102.3,32.1,36.1,81.3,5.08
Rice,Kharif,3,plains,31.0,111.37,15.83,41.64,42.53,clayey,137.3,50.4,56.1,85.5,5.67
Wheat,Rabi,7,plains,21.66,62.04,38.76,37.66,23.58,loamy,140.7,48.7,50.4,39.3,6.87
Wheat,Rabi,5,arid,23.44,54.23,56.04,38.74,5.22,sandy,77.7,27.7,26.4,58.9,7.27
Sugarcane,Kharif,9,plains,23.09,94.54,26.48,32.42,41.1,clayey,241.4,92.3,93.7,73.6,6.41
Maize,Kharif,9,plains,25.88,71.14,39.14,35.09,25.77,loamy,83.0,32.4,38.5,73.8,6.33
Rice,Kharif,11,humid,31.62,144.66,22.76,28.89,48.35,clayey,84.3,30.1,36.5,83.3,5.62
Wheat,Rabi,7,plains,20.56,68.68,46.98,29.26,23.76,sandy,97.9,43.0,44.1,52.6,7.34
Rice,Kharif,2,humid,35.72,112.68,15.19,30.18,54.63,clayey,109.6,44.0,37.0,87.2,5.23
Maize,Kharif,7,plains,30.85,108.31,33.07,33.71,33.22,loamy,121.4,45.9,43.1,58.2,7.26
Rice,Kharif,14,humid,29.24,120.61,37.56,28.33,34.11,loamy,114.9,42.6,46.3,96.5,4.63
Rice,Kharif,1,humid,29.54,148.81,19.13,42.11,38.76,clayey,141.5,54.2,50.9,88.1,4.78
Sugarcane,Kharif,10,humid,29.47,110.02,28.48,31.89,39.63,clayey,218.5,86.1,85.6,81.8,7.44
Rice,Kharif,2,humid,29.93,137.71,5.63,44.06,50.31,clayey,127.5,49.1,59.9,97.6,5.98
Sugarcane,Kharif,10,humid,33.87,110.57,31.65,30.71,37.64,clayey,224.9,86.9,90.1,68.2,6.55
Maize,Kharif,6,plains,31.5,85.68,41.77,24.65,33.58,loamy,109.7,42.1,42.5,59.1,7.15
Wheat,Rabi,4,plains,23.14,61.29,53.56,29.61,16.83,sandy,65.5,28.8,34.9,61.4,6.71
Maize,Kharif,5,arid,22.61,84.87,52.23,24.88,22.89,sandy,130.9,50.8,54.1,70.4,5.92
Sugarcane,Kharif,12,arid,37.71,83.75,30.41,33.64,35.95,clayey,180.7,81.1,75.4,59.2,7.28
Maize,Kharif,0,plains,19.87,82.48,52.75,28.77,18.48,sandy,146.6,52.6,53.3,54.7,7.08
Sugarcane,Kharif,11,humid,30.2,123.61,41.43,25.51,33.06,loamy,166.3,74.6,77.6,76.2,6.14
Sugarcane,Kharif,9,plains,23.21,126.89,33.73,23.15,43.12,clayey,213.9,85.5,96.8,80.7,7.29
Sugarcane,Kharif,2,humid,27.88,165.89,19.28,37.94,42.78,clayey,202.5,80.6,81.1,82.4,7.08
Maize,Rabi,4,plains,25.84,60.5,41.91,35.5,22.59,loamy,122.8,45.7,43.0,77.1,7.31
Sugarcane,Kharif,11,humid,25.8,166.23,42.36,21.36,36.28,clayey,230.8,93.1,95.8,85.3,6.02
Rice,Kharif,14,humid,29.03,128.5,31.71,26.2,42.09,clayey,92.8,26.7,29.4,97.7,6.06
Sugarcane,Kharif,11,humid,29.51,127.12,42.64,26.17,31.19,loamy,165.4,75.7,83.7,82.0,6.16
Sugarcane,Kharif,3,plains,22.46,110.81,21.87,38.97,39.16,clayey,200.8,75.1,73.9,75.2,6.29
Wheat,Rabi,5,arid,18.69,53.29,53.03,36.22,10.75,sandy,118.7,46.5,40.9,47.8,7.29
Rice,Kharif,14,humid,28.71,148.54,44.18,25.37,30.45,loamy,90.2,29.7,35.4,90.7,6.04
Wheat,Rabi,12,arid,22.75,43.61,59.02,26.96,14.02,sandy,136.5,53.3,50.3,61.2,6.27
Rice,Kharif,3,plains,26.35,114.78,7.34,43.44,49.22,clayey,87.7,32.2,30.9,75.7,6.27
Maize,Kharif,8,plains,24.45,60.88,25.74,30.01,44.25,clayey,133.7,53.4,56.8,54.1,6.6
Rice,Kharif,10,humid,25.05,121.44,8.12,44.86,47.02,clayey,112.8,43.2,41.1,87.9,5.63
Sugarcane,Kharif,3,plains,29.3,100.27,28.74,37.83,33.43,loamy,196.5,77.3,72.9,61.8,7.42
Rice,Kharif,2,humid,34.69,110.68,18.8,31.88,49.32,clayey,116.7,44.4,46.8,85.1,6.14
Rice,Kharif,6,plains,25.51,137.0,29.02,26.36,44.62,clayey,96.9,31.1,25.0,79.1,6.22
Wheat,Rabi,7,plains,20.88,64.88,34.17,39.81,26.02,loamy,118.9,36.8,44.8,60.1,6.79
Rice,Kharif,11,humid,31.86,139.0,27.79,22.87,49.34,clayey,124.8,41.6,45.8,86.9,5.92
Wheat,Rabi,3,plains,19.99,70.0,44.84,41.06,14.1,loamy,113.8,43.7,37.9,44.8,6.91
Maize,Kharif,0,plains,19.92,76.96,53.17,37.01,9.82,sandy,145.8,58.3,52.4,63.0,6.62
Maize,Rabi,7,plains,31.59,109.93,30.23,38.46,31.31,loamy,135.2,57.3,59.6,58.5,6.23
Wheat,Rabi,12,arid,21.42,42.08,58.22,24.93,16.85,sandy,86.1,32.5,31.2,48.6,6.1
Maize,Kharif,7,plains,20.25,61.01,41.78,25.98,32.24,loamy,104.3,44.3,46.3,65.6,6.89
Wheat,Rabi,7,plains,21.68,61.68,34.22,29.09,36.69,clayey,88.5,27.5,35.2,64.4,6.84
Maize,Kharif,5,arid,29.33,80.13,57.77,30.18,12.05,sandy,127.0,54.6,53.6,51.5,6.93
Maize,Rabi,0,plains,20.88,85.27,53.19,36.1,10.71,sandy,143.0,57.8,53.4,69.2,5.63
Wheat,Rabi,13,arid,22.16,36.49,71.15,21.65,7.2,sandy,141.8,55.1,56.2,42.2,7.23
Wheat,Rabi,8,plains,23.03,51.7,37.7,27.68,34.62,loamy,92.6,40.3,37.7,54.5,6.57
Wheat,Rabi,4,plains,16.4,68.36,60.42,30.9,8.68,sandy,77.8,28.9,35.6,55.3,6.85
Rice,Kharif,6,plains,29.04,132.81,24.51,28.07,47.42,clayey,115.3,36.5,37.2,80.8,5.06
Maize,Kharif,6,plains,24.85,111.39,48.62,22.94,28.44,sandy,103.9,46.5,45.6,74.4,7.35
Sugarcane,Kharif,10,humid,33.32,138.98,32.27,27.56,40.17,clayey,239.9,96.7,96.6,89.9,6.81
Rice,Kharif,2,humid,32.98,150.29,11.2,35.59,53.21,clayey,143.0,54.2,57.9,90.3,5.4
Maize,Kharif,0,plains,20.05,55.87,55.01,34.81,10.18,sandy,97.7,30.2,33.7,66.5,5.79
Sugarcane,Kharif,9,plains,33.13,128.03,32.89,25.87,41.24,clayey,196.8,75.7,77.2,77.2,6.55
Rice,Kharif,1,humid,29.88,175.7,24.2,35.61,40.19,clayey,135.0,54.2,50.8,77.8,5.82
Maize,Rabi,7,plains,28.49,118.48,26.32,31.11,42.57,clayey,133.1,55.3,58.8,57.0,7.05
Wheat,Rabi,7,plains,22.09,60.55,40.52,29.09,30.39,loamy,60.0,33.4,36.2,67.2,6.34
Wheat,Rabi,13,arid,22.35,42.32,72.92,19.03,8.05,sandy,146.1,55.0,48.8,58.1,7.42
Wheat,Rabi,5,arid,22.67,57.15,53.74,28.16,18.1,sandy,140.4,49.8,48.9,60.2,7.41
Wheat,Rabi,12,arid,22.17,44.62,53.25,32.68,14.07,sandy,99.0,39.6,38.9,49.6,6.81
Maize,Rabi,8,plains,30.23,84.03,22.92,36.67,40.41,clayey,81.0,38.9,35.2,73.7,7.13
Sugarcane,Kharif,2,humid,23.18,112.33,17.44,34.99,47.57,clayey,130.2,58.4,60.9,76.9,6.98
Wheat,Rabi,8,plains,22.79,61.07,34.46,26.73,38.81,clayey,85.5,33.6,30.1,53.1,6.29
Rice,Kharif,2,humid,23.1,140.73,17.77,32.36,49.87,clayey,110.3,42.2,40.8,79.9,6.23
Sugarcane,Kharif,10,humid,32.84,142.0,24.61,35.99,39.4,clayey,226.6,86.4,96.6,82.5,7.34
Wheat,Rabi,13,arid,22.42,43.81,75.52,18.74,5.74,sandy,136.0,50.3,55.1,34.5,6.74
Wheat,Rabi,12,arid,23.44,41.05,52.71,28.03,19.26,sandy,74.8,31.2,26.7,56.6,6.62
Rice,Kharif,6,plains,27.22,124.59,15.41,27.47,57.12,clayey,108.6,36.9,37.0,92.6,6.11
Wheat,Rabi,13,arid,22.33,25.85,76.32,18.12,5.56,sandy,135.6,59.7,53.8,42.3,7.17
Wheat,Rabi,3,plains,23.74,70.0,41.42,37.27,21.31,loamy,105.8,39.6,42.7,62.0,6.94
Rice,Kharif,6,plains,26.06,124.91,25.86,24.68,49.46,clayey,131.6,53.7,49.1,79.6,5.38
Sugarcane,Kharif,4,plains,28.84,89.47,33.81,35.93,30.26,loamy,147.6,56.5,68.4,63.6,6.56
Sugarcane,Kharif,3,plains,26.79,92.3,31.78,39.19,29.03,loamy,124.5,61.1,69.3,77.8,6.14
Maize,Kharif,9,plains,22.36,119.04,38.62,24.71,36.67,clayey,149.0,54.2,59.5,63.6,6.22
Rice,Kharif,2,humid,26.69,134.93,9.96,36.73,53.31,clayey,125.1,40.2,36.7,90.3,5.4
Wheat,Rabi,12,arid,21.72,65.34,59.8,21.86,18.34,sandy,137.0,52.4,52.1,41.0,6.23
Wheat,Rabi,7,plains,23.27,66.03,42.39,23.91,33.7,loamy,138.0,53.1,52.7,48.1,7.36
Sugarcane,Kharif,5,arid,32.0,85.55,35.49,34.17,30.34,loamy,145.9,59.5,58.0,57.7,7.4
Rice,Kharif,11,humid,33.81,164.99,25.25,32.77,41.98,clayey,100.1,26.8,35.9,92.1,6.45
Maize,Rabi,6,plains,26.81,119.26,40.54,29.93,29.53,loamy,128.8,58.3,56.8,76.9,7.41
Sugarcane,Kharif,12,arid,22.24,80.55,39.25,35.21,25.54,loamy,206.7,74.8,82.7,62.1,7.03
Wheat,Rabi,3,plains,22.25,70.0,47.88,37.74,14.38,sandy,114.3,38.0,38.0,67.2,6.67
Wheat,Rabi,13,arid,22.13,45.62,71.8,20.11,8.09,sandy,91.4,42.4,47.6,41.8,6.67
Wheat,Rabi,3,plains,23.93,70.0,45.63,38.15,16.22,sandy,83.4,31.6,32.6,53.9,7.26
Wheat,Rabi,5,arid,21.32,64.2,63.25,25.96,10.79,sandy,126.9,59.9,59.4,52.8,7.04
Rice,Kharif,6,plains,33.49,110.5,20.15,32.3,47.55,clayey,114.6,35.0,47.5,90.1,6.05
Wheat,Rabi,8,plains,23.65,59.91,29.37,33.93,36.7,clayey,116.7,37.8,48.3,49.6,6.68
Sugarcane,Kharif,10,humid,32.09,129.42,21.66,41.92,36.42,clayey,129.0,67.9,61.2,82.6,7.12
Maize,Kharif,7,plains,23.81,81.64,24.11,34.22,41.67,clayey,91.8,34.3,33.7,70.1,6.77
Rice,Kharif,3,plains,29.96,121.61,11.79,31.84,56.37,clayey,120.3,36.3,46.5,73.2,4.63
Rice,Kharif,2,humid,27.28,155.47,17.28,31.2,51.52,clayey,96.8,31.9,36.4,93.1,5.11
Rice,Kharif,3,plains,29.24,122.69,23.51,31.57,44.92,clayey,141.1,51.9,53.1,84.9,5.45
Maize,Kharif,6,plains,27.35,81.72,41.26,27.02,31.72,loamy,137.6,57.6,55.3,53.7,7.23
Wheat,Rabi,5,arid,23.85,44.98,55.27,29.48,15.25,sandy,66.5,25.2,34.5,36.4,6.01
Rice,Kharif,2,humid,25.02,170.43,5.26,37.33,57.41,clayey,92.9,32.0,27.0,86.1,5.32
Sugarcane,Kharif,9,plains,30.49,122.57,25.78,30.71,43.51,clayey,231.3,87.5,97.9,83.6,7.5
Sugarcane,Kharif,10,humid,27.61,110.32,18.36,37.03,44.61,clayey,218.0,91.6,86.0,86.4,6.56
Rice,Kharif,3,plains,31.52,119.29,23.74,28.82,47.44,clayey,84.6,27.1,32.8,84.0,6.45
Sugarcane,Kharif,2,humid,34.28,154.84,25.63,35.11,39.26,clayey,130.4,69.4,57.2,71.2,6.56
Wheat,Rabi,8,plains,23.51,58.85,28.04,27.94,44.02,clayey,147.9,52.4,54.5,59.2,6.58
Sugarcane,Kharif,5,arid,32.9,88.9,37.15,23.88,38.97,clayey,213.7,97.9,90.0,78.2,6.36
Maize,Kharif,4,plains,18.75,87.56,49.02,30.0,20.98,sandy,143.3,51.4,58.2,61.2,6.75
Maize,Kharif,6,plains,30.79,84.09,45.76,23.48,30.76,sandy,89.6,32.2,37.1,54.3,7.22
Rice,Kharif,10,humid,32.98,135.77,9.43,37.38,53.19,clayey,146.1,54.6,56.5,86.2,6.07
Maize,Rabi,7,plains,31.44,76.91,22.88,32.46,44.66,clayey,94.1,37.1,37.5,61.5,5.68
Sugarcane,Kharif,4,plains,22.57,91.53,25.32,30.53,44.15,clayey,136.3,63.4,65.5,72.3,6.21
Maize,Kharif,4,plains,31.7,111.82,43.49,34.38,22.13,loamy,106.1,50.1,42.5,60.8,5.59
Sugarcane,Kharif,4,plains,33.37,114.88,30.06,32.41,37.53,clayey,121.3,60.4,67.1,66.3,7.29
Rice,Kharif,10,humid,26.99,132.87,12.42,41.74,45.84,clayey,85.1,32.7,27.3,81.6,6.43
Maize,Rabi,8,plains,25.69,91.64,21.34,34.52,44.14,clayey,97.3,31.3,38.9,59.8,6.96
Wheat,Rabi,13,arid,22.45,39.17,76.01,17.91,6.08,sandy,95.5,42.0,45.5,43.5,6.92
Maize,Rabi,0,plains,19.29,72.86,59.74,29.82,10.44,sandy,90.1,37.3,34.4,78.7,6.1
Wheat,Rabi,8,plains,22.75,61.04,38.9,22.83,38.27,clayey,144.3,51.4,51.3,62.1,6.07
Sugarcane,Kharif,2,humid,27.11,125.54,25.06,33.37,41.57,clayey,131.9,57.7,68.4,77.6,6.12
Rice,Kharif,1,humid,29.37,100.56,19.77,28.44,51.79,clayey,139.3,45.2,51.4,94.0,6.4
Wheat,Rabi,7,plains,21.83,63.51,48.96,21.78,29.26,sandy,126.5,51.2,58.9,40.8,6.73
Maize,Kharif,5,arid,18.62,58.88,51.56,35.29,13.15,sandy,136.8,55.1,59.0,65.4,6.63
Wheat,Rabi,8,plains,22.13,61.9,38.41,29.98,31.61,loamy,95.0,43.3,40.1,60.2,6.05
Maize,Kharif,5,arid,30.67,66.38,45.7,30.27,24.03,sandy,134.0,54.2,53.5,51.7,7.21
Rice,Kharif,1,humid,24.88,153.17,30.5,28.84,40.66,clayey,116.5,40.5,37.9,92.2,6.38
Rice,Kharif,10,humid,29.65,114.37,20.09,38.05,41.86,clayey,128.2,50.4,59.3,79.1,4.61
Wheat,Rabi,5,arid,16.11,65.89,58.86,25.76,15.38,sandy,120.2,36.9,47.2,59.6,6.29
Maize,Kharif,8,plains,25.59,70.26,17.67,34.03,48.3,clayey,149.4,50.7,51.6,77.2,5.82
Wheat,Rabi,4,plains,16.75,61.62,46.19,33.23,20.58,sandy,68.2,28.6,32.4,43.9,6.28
Maize,Kharif,7,plains,30.37,79.28,30.32,34.17,35.51,clayey,137.7,59.9,54.3,79.7,5.82
Wheat,Rabi,3,plains,22.44,70.0,43.44,41.93,14.63,loamy,87.5,25.8,30.0,54.5,7.03
Rice,Kharif,14,humid,31.14,150.17,34.43,25.69,39.88,clayey,138.9,46.6,49.2,81.2,5.38
Wheat,Rabi,12,arid,23.01,61.21,47.55,35.33,17.12,sandy,82.4,26.2,31.2,56.4,6.21
Rice,Kharif,6,plains,24.25,132.2,25.45,24.91,49.64,clayey,103.9,41.4,37.5,91.2,5.65
Wheat,Rabi,12,arid,23.12,63.56,43.99,34.4,21.61,loamy,90.1,41.9,48.2,51.0,7.49
Rice,Kharif,11,humid,29.8,155.67,19.77,24.71,55.52,clayey,112.8,39.7,37.2,88.5,5.22
Maize,Rabi,5,arid,23.67,54.48,51.97,27.2,20.83,sandy,109.2,41.7,46.9,62.8,7.01
Wheat,Rabi,13,arid,23.65,41.83,69.31,25.37,5.32,sandy,110.2,39.8,37.5,57.7,6.6
Wheat,Rabi,12,arid,21.68,57.98,48.89,35.87,15.24,sandy,142.1,48.7,55.2,48.4,6.43
Maize,Kharif,6,plains,22.53,100.09,51.05,22.13,26.82,sandy,91.9,35.7,39.2,50.6,6.01
Rice,Kharif,10,humid,28.52,133.95,20.98,29.99,49.03,clayey,98.0,31.7,32.3,80.3,5.35
Rice,Kharif,6,plains,33.15,100.79,17.03,30.21,52.76,clayey,93.1,31.4,28.5,88.8,6.28
Maize,Rabi,6,plains,29.92,93.36,47.04,32.92,20.04,sandy,128.0,57.0,58.3,58.2,6.6
Wheat,Rabi,13,arid,22.79,38.74,70.37,23.93,5.7,sandy,86.6,25.8,36.0,55.4,7.07
Rice,Kharif,6,plains,32.38,127.42,21.64,30.72,47.64,clayey,83.7,33.0,26.5,76.5,5.13
Maize,Kharif,8,plains,26.62,85.7,31.66,32.3,36.04,clayey,84.3,31.2,31.4,72.1,5.78
Maize,Kharif,9,plains,28.09,102.17,41.42,27.82,30.76,loamy,98.9,39.8,31.9,63.6,5.99
Wheat,Rabi,12,arid,22.84,49.43,53.91,28.91,17.18,sandy,144.9,52.3,50.5,47.1,7.23
Wheat,Rabi,3,plains,19.85,70.0,42.65,28.93,28.42,loamy,119.3,41.3,45.2,47.8,6.06
Sugarcane,Kharif,4,plains,24.81,83.2,29.74,37.75,32.51,loamy,184.4,76.1,79.8,60.0,6.91
Rice,Kharif,1,humid,25.09,138.78,27.32,31.39,41.29,clayey,121.9,41.0,40.6,83.6,5.95
Sugarcane,Kharif,3,plains,32.82,132.83,20.99,38.25,40.76,clayey,237.7,86.2,92.5,75.2,7.29
Wheat,Rabi,5,arid,16.73,54.3,49.69,30.33,19.98,sandy,112.2,39.9,39.6,34.3,7.28
Maize,Rabi,9,plains,24.02,100.1,35.77,28.96,35.27,clayey,148.6,50.1,58.9,55.5,6.73
Sugarcane,Kharif,3,plains,33.53,125.95,28.34,37.52,34.14,loamy,158.5,62.5,65.2,64.9,6.93
Maize,Kharif,4,plains,19.59,62.41,45.84,27.71,26.45,sandy,93.9,39.5,36.6,60.4,7.03
Sugarcane,Kharif,12,arid,24.21,88.5,31.72,33.17,35.11,clayey,162.6,61.8,65.6,78.7,6.54
Rice,Kharif,14,humid,28.99,125.21,35.76,27.27,36.97,clayey,97.1,28.3,33.8,87.6,4.87
Rice,Kharif,1,humid,24.23,115.98,19.11,35.65,45.24,clayey,104.6,44.8,43.0,96.2,5.43
Wheat,Rabi,5,arid,19.82,51.14,63.98,30.05,5.97,sandy,133.1,50.1,58.7,51.0,7.06
Wheat,Rabi,12,arid,21.97,40.34,50.59,27.2,22.21,sandy,82.2,31.7,36.1,47.1,6.08
Rice,Kharif,10,humid,28.43,102.73,20.11,35.86,44.03,clayey,134.1,46.1,51.6,83.7,6.12
Maize,Rabi,5,arid,18.47,89.54,46.71,33.12,20.17,sandy,131.4,52.4,58.8,59.5,6.64
Wheat,Rabi,7,plains,23.49,68.28,42.05,29.88,28.07,loamy,98.0,39.3,40.3,44.5,7.21
Sugarcane,Kharif,10,humid,31.0,92.13,22.06,35.14,42.8,clayey,195.3,75.1,80.0,82.4,7.44
Maize,Kharif,0,plains,19.1,55.54,54.09,34.72,11.19,sandy,99.6,39.5,39.5,53.6,6.9
Rice,Kharif,3,plains,25.69,113.62,12.48,38.09,49.43,clayey,103.6,36.3,44.8,94.8,5.55
Maize,Kharif,6,plains,28.27,84.28,38.62,33.55,27.83,loamy,105.5,46.4,48.9,74.6,6.37
Sugarcane,Kharif,11,humid,30.03,137.74,45.9,19.2,34.9,sandy,134.7,59.1,60.0,70.3,7.33
Rice,Kharif,2,humid,35.15,141.82,18.91,28.37,52.72,clayey,92.8,32.3,30.8,83.1,5.03
Sugarcane,Kharif,10,humid,25.03,108.03,25.23,32.35,42.42,clayey,225.7,96.8,99.1,74.9,6.26
Rice,Kharif,3,plains,27.86,123.84,22.74,29.63,47.63,clayey,103.1,27.1,28.1,74.5,4.53
Rice,Kharif,2,humid,28.47,176.91,5.61,37.79,56.6,clayey,140.1,53.6,49.4,89.6,6.11
Wheat,Rabi,3,plains,23.68,70.0,38.21,36.14,25.65,loamy,138.0,49.6,58.2,53.5,6.57
Rice,Kharif,1,humid,28.63,133.21,25.16,37.36,37.48,clayey,100.7,29.0,30.3,94.9,6.1
Sugarcane,Kharif,3,plains,33.96,105.65,24.91,36.49,38.6,clayey,169.7,82.8,72.8,69.1,7.2
Maize,Kharif,5,arid,22.25,67.93,51.15,36.51,12.34,sandy,104.7,45.3,40.5,67.4,6.43
Sugarcane,Kharif,12,arid,30.4,87.24,41.16,32.29,26.55,loamy,179.6,82.2,84.5,55.5,7.04
Sugarcane,Kharif,9,plains,26.86,116.07,28.64,27.83,43.53,clayey,182.0,72.4,74.7,68.2,6.94
